Unknown Frame: size=14487, net_delay=93, decode_delay=10, encode_delay=18, total_delay=121, md5=51f0f36522a4af76ec19afb56faa0b24
Unknown Frame: size=15061, net_delay=97, decode_delay=11, encode_delay=14, total_delay=122, md5=7564d6d254e5a020b9ba27fe7b5de156
Unknown Frame: size=17213, net_delay=95, decode_delay=11, encode_delay=18, total_delay=124, md5=186fa3f0762ec1e1e239f880a228f464
Unknown Frame: size=27921, net_delay=93, decode_delay=14, encode_delay=18, total_delay=125, md5=35f4085770b8aae672e8d32f77c1ee60
Unknown Frame: size=17987, net_delay=96, decode_delay=12, encode_delay=15, total_delay=123, md5=2450658925f2e6bb5b6f834a5d7d99f4
Unknown Frame: size=19192, net_delay=95, decode_delay=11, encode_delay=15, total_delay=121, md5=7cab5afd480b1b28b5095c5207b438ef
Unknown Frame: size=13506, net_delay=96, decode_delay=10, encode_delay=14, total_delay=120, md5=6db867a9bea6b017d53bc85d56f4c7e2
Unknown Frame: size=16297, net_delay=96, decode_delay=11, encode_delay=14, total_delay=121, md5=7dd4fa7e5141d4715217f568c35a8c4f
Unknown Frame: size=20199, net_delay=94, decode_delay=11, encode_delay=16, total_delay=121, md5=37a1bb8284ff57f7a4ec805c064e23f6
Unknown Frame: size=21912, net_delay=94, decode_delay=11, encode_delay=15, total_delay=120, md5=e3163d25f587e227e25098b3e2e0c2a4
Unknown Frame: size=17923, net_delay=96, decode_delay=11, encode_delay=14, total_delay=121, md5=1aec5aeb26a97bc34a4f66692ba7c75f
Unknown Frame: size=13859, net_delay=94, decode_delay=10, encode_delay=15, total_delay=119, md5=e72911f63f7dac4c427d83810aee854d
Unknown Frame: size=15761, net_delay=95, decode_delay=11, encode_delay=14, total_delay=120, md5=af64da8233b1655f8018e1a29026f123
Unknown Frame: size=20515, net_delay=96, decode_delay=11, encode_delay=14, total_delay=121, md5=b4c46b9248da50f98a364844362eb91d
Unknown Frame: size=32284, net_delay=92, decode_delay=15, encode_delay=18, total_delay=125, md5=fdb529dcfb13415e45da627da331f8a0
Unknown Frame: size=29146, net_delay=92, decode_delay=14, encode_delay=18, total_delay=124, md5=dfea3b25f4cb17aef235e79905630813
Unknown Frame: size=31770, net_delay=93, decode_delay=15, encode_delay=18, total_delay=126, md5=661411d7d9ec3cc291d72a6297759788
Unknown Frame: size=27306, net_delay=96, decode_delay=13, encode_delay=17, total_delay=126, md5=6d684af11aea700657a6cbd9f363a492
Unknown Frame: size=26318, net_delay=102, decode_delay=14, encode_delay=17, total_delay=133, md5=f7425b2be142d9c5c3d41267001299e5
Unknown Frame: size=19465, net_delay=101, decode_delay=12, encode_delay=15, total_delay=128, md5=e68a3559f1b7f12c4ef03ab3c8e083de
Unknown Frame: size=15259, net_delay=101, decode_delay=10, encode_delay=14, total_delay=125, md5=8b0752edce36bc0dbc3173ab5a266fc0
Unknown Frame: size=7513, net_delay=102, decode_delay=8, encode_delay=12, total_delay=122, md5=77fdd24c5d018ca521edea0900a35381
Unknown Frame: size=14644, net_delay=97, decode_delay=11, encode_delay=18, total_delay=126, md5=715f5d435441c0e9abd65e6a5a8f4f26
Unknown Frame: size=18024, net_delay=100, decode_delay=12, encode_delay=15, total_delay=127, md5=4ec608a9bcf7e86730994b60f799462e
Unknown Frame: size=18079, net_delay=99, decode_delay=11, encode_delay=15, total_delay=125, md5=b9fa5abccfeba3a099cb309f4f018328
Unknown Frame: size=15551, net_delay=99, decode_delay=11, encode_delay=15, total_delay=125, md5=4c172827eef14dc3597b22c6ad432842
Unknown Frame: size=21724, net_delay=98, decode_delay=12, encode_delay=16, total_delay=126, md5=4dbe23f8f7c8fa46579754967fa95770
Unknown Frame: size=20987, net_delay=95, decode_delay=12, encode_delay=19, total_delay=126, md5=6e53ac881743388eb5ee3df131d7d84a
Unknown Frame: size=19196, net_delay=96, decode_delay=11, encode_delay=18, total_delay=125, md5=0ca4e68811f67394c0f4596cafb243ef
Unknown Frame: size=20701, net_delay=93, decode_delay=12, encode_delay=20, total_delay=125, md5=facb8c828c3687b3f96a4ed14a3f9ddd
Unknown Frame: size=19525, net_delay=97, decode_delay=11, encode_delay=16, total_delay=124, md5=997aa941c35b6f0dd2b4eee323e00b62
Unknown Frame: size=19400, net_delay=96, decode_delay=11, encode_delay=16, total_delay=123, md5=7d5ab23b582c71410526a7e83eb3b9a2
Unknown Frame: size=18360, net_delay=99, decode_delay=11, encode_delay=15, total_delay=125, md5=b09652288ec1c0ad18b0d22c4c2dd8b4
Unknown Frame: size=9430, net_delay=98, decode_delay=8, encode_delay=13, total_delay=119, md5=77935260aa8483c2e20234e32c0575c3
Unknown Frame: size=17510, net_delay=99, decode_delay=11, encode_delay=15, total_delay=125, md5=5aabb8bb0df472007060ff1444b5a783
Unknown Frame: size=25054, net_delay=96, decode_delay=13, encode_delay=16, total_delay=125, md5=4efc10ee485d0e86f62a39969b0b62da
Unknown Frame: size=28729, net_delay=96, decode_delay=13, encode_delay=17, total_delay=126, md5=121e2e1a565ae125da630cd88ed7c7b8
Unknown Frame: size=29923, net_delay=95, decode_delay=13, encode_delay=18, total_delay=126, md5=b05987b0c28eb2eb398ed7394155b299
Unknown Frame: size=26895, net_delay=97, decode_delay=13, encode_delay=17, total_delay=127, md5=707f855a80258b56aa934b15aa650198
Unknown Frame: size=14371, net_delay=99, decode_delay=10, encode_delay=14, total_delay=123, md5=6a1e5afeca0927615cddd2e6d36c68b2
Unknown Frame: size=16167, net_delay=96, decode_delay=10, encode_delay=16, total_delay=122, md5=786d364a2f6ae0936b366ec9ce61a1f1
Unknown Frame: size=18538, net_delay=97, decode_delay=11, encode_delay=15, total_delay=123, md5=05f2969596f62d20927b4b446e1bf6a9
Unknown Frame: size=8162, net_delay=98, decode_delay=6, encode_delay=13, total_delay=117, md5=b645f566339056df58a7cc86946e2c5e
Unknown Frame: size=13597, net_delay=98, decode_delay=8, encode_delay=12, total_delay=118, md5=1937cc5e075f0ea18fc0b109d010455f
Unknown Frame: size=15892, net_delay=97, decode_delay=8, encode_delay=13, total_delay=118, md5=29fc5c49bb6e46f134a40971399bf85c
Unknown Frame: size=16398, net_delay=98, decode_delay=7, encode_delay=12, total_delay=117, md5=9ad763bf242828d88a42cc1ab73097e9
Unknown Frame: size=42620, net_delay=92, decode_delay=16, encode_delay=19, total_delay=127, md5=a9a2a9180c72519cb9aa85ae97f1be96
Unknown Frame: size=42526, net_delay=95, decode_delay=19, encode_delay=19, total_delay=133, md5=94a3e540751827dff55266c6334cf039
Unknown Frame: size=28434, net_delay=107, decode_delay=14, encode_delay=17, total_delay=138, md5=5174891ca9f6f31cc8b4ed451f3feb8c
Unknown Frame: size=24934, net_delay=105, decode_delay=13, encode_delay=17, total_delay=135, md5=f188ba7346a74b1709a878725d19d096
Unknown Frame: size=15395, net_delay=101, decode_delay=11, encode_delay=14, total_delay=126, md5=392d48d5ba90c015dad394b4ab0a3606
Unknown Frame: size=12610, net_delay=103, decode_delay=8, encode_delay=12, total_delay=123, md5=7545503c5903a36af607c83dc26fd8b6
Unknown Frame: size=14690, net_delay=102, decode_delay=9, encode_delay=14, total_delay=125, md5=237a9244627ea1a4dd0f35080aa55b72
Unknown Frame: size=17032, net_delay=103, decode_delay=9, encode_delay=13, total_delay=125, md5=bdaff482be91a4769bf215140eaae0f1
Unknown Frame: size=14188, net_delay=104, decode_delay=9, encode_delay=12, total_delay=125, md5=60cdf3b753b1e87677bffd8315dcc94b
Unknown Frame: size=20684, net_delay=104, decode_delay=10, encode_delay=12, total_delay=126, md5=9410e140428380f12a1db92488afa624
Unknown Frame: size=12987, net_delay=104, decode_delay=7, encode_delay=12, total_delay=123, md5=a789610e30a9ce0c0fc4030b517d0fcd
