Unknown Frame: size=31625, net_delay=165, decode_delay=4, encode_delay=55, total_delay=224, md5=3cd11e887cbb3e67ff860da48e43a4e1
Unknown Frame: size=39804, net_delay=158, decode_delay=4, encode_delay=63, total_delay=225, md5=e3c5fce17c5a7d77197e45fd0706c3fc
Unknown Frame: size=37603, net_delay=166, decode_delay=4, encode_delay=56, total_delay=226, md5=c01bd2870b3c26534efc8dc1f0770b4b
Unknown Frame: size=42565, net_delay=156, decode_delay=4, encode_delay=64, total_delay=224, md5=7c65e84668353db9571a25ccff8a51b7
Unknown Frame: size=44037, net_delay=157, decode_delay=4, encode_delay=64, total_delay=225, md5=aba7fb9048bf7e6ad7fcce22b1232193
Unknown Frame: size=49781, net_delay=148, decode_delay=3, encode_delay=73, total_delay=224, md5=7b5f6017d7cbd7775007ef273ea6a747
Unknown Frame: size=49737, net_delay=172, decode_delay=4, encode_delay=55, total_delay=231, md5=b41c06c2d813b1ab12c7a6fe690648b4
Unknown Frame: size=55458, net_delay=232, decode_delay=3, encode_delay=55, total_delay=290, md5=6db2857d096132ba53fa32862970f156
Unknown Frame: size=193072, net_delay=650, decode_delay=4, encode_delay=95, total_delay=749, md5=19af19ca659d343112c8ef9c9b1a3b1b
Unknown Frame: size=116234, net_delay=967, decode_delay=4, encode_delay=58, total_delay=1029, md5=ba9db601e4a73ef9bb7a15da449f1ffc
Unknown Frame: size=114929, net_delay=1232, decode_delay=7, encode_delay=70, total_delay=1309, md5=0cc8107e2abe763c03c50b1045d8491d
Unknown Frame: size=140020, net_delay=1494, decode_delay=5, encode_delay=65, total_delay=1564, md5=ffc166a171487ca6e0cd77c35d7acb9d
Unknown Frame: size=117315, net_delay=1673, decode_delay=6, encode_delay=66, total_delay=1745, md5=73b6ffdee3d7a6cbd2aba5c094dd0424
Unknown Frame: size=183789, net_delay=578, decode_delay=5, encode_delay=83, total_delay=666, md5=f6c0552d5a584d13eb38712abbca5d2c
Unknown Frame: size=83511, net_delay=368, decode_delay=4, encode_delay=84, total_delay=456, md5=4d8a681b1cdd47a9a0174c38ed3b7703
Unknown Frame: size=69029, net_delay=305, decode_delay=4, encode_delay=72, total_delay=381, md5=7711e4ddd6b3d91b2aa142e802f49d0b
Unknown Frame: size=53400, net_delay=271, decode_delay=3, encode_delay=81, total_delay=355, md5=707e1928d49880b483e72eb671a41a04
Unknown Frame: size=34326, net_delay=285, decode_delay=3, encode_delay=73, total_delay=361, md5=9162721ab731d8dc59de5470385f4348
Unknown Frame: size=28470, net_delay=289, decode_delay=3, encode_delay=65, total_delay=357, md5=d16744ed4e30a962b008712ff518fa36
Unknown Frame: size=26978, net_delay=293, decode_delay=3, encode_delay=61, total_delay=357, md5=0d8b94e4c118b182efa4f33d8f4c0fdb
Unknown Frame: size=14578, net_delay=291, decode_delay=3, encode_delay=57, total_delay=351, md5=fc09b1e8875384f46afe5d060ad63ad6
Unknown Frame: size=14311, net_delay=285, decode_delay=4, encode_delay=57, total_delay=346, md5=2d00d2b5b87fa1daf9d7b535f319253a
Unknown Frame: size=18515, net_delay=270, decode_delay=3, encode_delay=69, total_delay=342, md5=8feb01e12ce1d85427d6d9fe49b8c8e0
Unknown Frame: size=16585, net_delay=272, decode_delay=3, encode_delay=62, total_delay=337, md5=585888e4fc1d30baac80ec3d60790f0d
