Unknown Frame: size=16973, net_delay=123, decode_delay=3, encode_delay=63, total_delay=189, md5=de17a1bc70de6f54153374a331f4a409
Unknown Frame: size=16397, net_delay=136, decode_delay=2, encode_delay=50, total_delay=188, md5=1e700b03a7db43aca63fc496b64956bf
Unknown Frame: size=15158, net_delay=121, decode_delay=3, encode_delay=64, total_delay=188, md5=dd7b99c2c81b3e1789bbd44573ac04d4
Unknown Frame: size=16026, net_delay=128, decode_delay=2, encode_delay=58, total_delay=188, md5=b7a3146593fff31c817a0585dd29c7ab
Unknown Frame: size=15431, net_delay=129, decode_delay=3, encode_delay=56, total_delay=188, md5=0a89027c4d93cdb78fd54a463ab062f6
Unknown Frame: size=17440, net_delay=132, decode_delay=3, encode_delay=53, total_delay=188, md5=f08e8502d0298021dbc382090c1f4315
Unknown Frame: size=15313, net_delay=128, decode_delay=2, encode_delay=57, total_delay=187, md5=f7295ab86e8d183b02768a277723092b
Unknown Frame: size=27183, net_delay=121, decode_delay=3, encode_delay=64, total_delay=188, md5=af99c971dea7cd4f6029606b6bc030d5
Unknown Frame: size=23773, net_delay=126, decode_delay=3, encode_delay=60, total_delay=189, md5=dcdf8e26782d1f0750353d34719f74f6
Unknown Frame: size=29749, net_delay=125, decode_delay=3, encode_delay=62, total_delay=190, md5=48b13828e337449d68eb7bf2f7827bd8
Unknown Frame: size=27748, net_delay=125, decode_delay=3, encode_delay=61, total_delay=189, md5=6d6c0e2dec1b75101180642448839697
Unknown Frame: size=29726, net_delay=125, decode_delay=3, encode_delay=63, total_delay=191, md5=0ecdf482ea8dcc2e285b902237dd718d
Unknown Frame: size=29762, net_delay=131, decode_delay=3, encode_delay=57, total_delay=191, md5=87859b7c07bc9cd55228b6cbb2041b40
Unknown Frame: size=38262, net_delay=124, decode_delay=3, encode_delay=64, total_delay=191, md5=39854c933235bdd59c9775f10dec01e5
Unknown Frame: size=31523, net_delay=133, decode_delay=3, encode_delay=57, total_delay=193, md5=612713f6d01e6eb8925151ed25784471
Unknown Frame: size=41383, net_delay=131, decode_delay=3, encode_delay=61, total_delay=195, md5=cc01f02bf638cf5b89dac495e14c39a1
Unknown Frame: size=13227, net_delay=152, decode_delay=2, encode_delay=40, total_delay=194, md5=ad30622a1f78576017667ce0ae20f0b2
Unknown Frame: size=18117, net_delay=148, decode_delay=2, encode_delay=44, total_delay=194, md5=212461705de0e1fa28f9999d06ac44a4
Unknown Frame: size=17625, net_delay=146, decode_delay=2, encode_delay=46, total_delay=194, md5=2ec6198dda4c35663fd4dc1e18b453ab
Unknown Frame: size=18315, net_delay=144, decode_delay=3, encode_delay=47, total_delay=194, md5=c36be92138537d4f4f31c6d1821bcc99
Unknown Frame: size=18323, net_delay=149, decode_delay=2, encode_delay=42, total_delay=193, md5=e5664e658e9c5a7eb0dfaedceb45b5bb
Unknown Frame: size=23176, net_delay=144, decode_delay=3, encode_delay=46, total_delay=193, md5=fe5baef8da4a53684e1846e6016ab1c9
Unknown Frame: size=25009, net_delay=137, decode_delay=3, encode_delay=53, total_delay=193, md5=61ef746d77148da2ad414ed0632f9cff
Unknown Frame: size=42172, net_delay=136, decode_delay=4, encode_delay=57, total_delay=197, md5=3fe007daabb06ed6a5310e7ab7ac82b0
Unknown Frame: size=35131, net_delay=141, decode_delay=3, encode_delay=53, total_delay=197, md5=783b7918965686380f9678b16e0266ba
Unknown Frame: size=36700, net_delay=140, decode_delay=3, encode_delay=57, total_delay=200, md5=5c88d6d19c1e3570731aa8a4183ea187
Unknown Frame: size=36111, net_delay=143, decode_delay=3, encode_delay=53, total_delay=199, md5=ae5939fa8289110ff13adf795ba8c884
Unknown Frame: size=31555, net_delay=142, decode_delay=4, encode_delay=54, total_delay=200, md5=50fde1cbaeebbbc71f479bf1591e2470
Unknown Frame: size=29962, net_delay=140, decode_delay=3, encode_delay=56, total_delay=199, md5=b149e2fd5c7cd2fdd3c32210e9327de1
Unknown Frame: size=39176, net_delay=137, decode_delay=3, encode_delay=60, total_delay=200, md5=9690562f4092dfd717152c3ceb7c1dd6
Unknown Frame: size=31843, net_delay=144, decode_delay=3, encode_delay=53, total_delay=200, md5=e7b5dc9441c19b26db45fe1c02f2fff6
Unknown Frame: size=31689, net_delay=141, decode_delay=4, encode_delay=57, total_delay=202, md5=51c0071ad738b046a1d3f35d240af03a
Unknown Frame: size=41547, net_delay=142, decode_delay=3, encode_delay=56, total_delay=201, md5=9ead1514a6e62b3d63dd3604e770181f
Unknown Frame: size=27625, net_delay=145, decode_delay=3, encode_delay=52, total_delay=200, md5=f56166885cd4efb6931aa1ffbe40dda5
Unknown Frame: size=29654, net_delay=146, decode_delay=2, encode_delay=50, total_delay=198, md5=dffe2dd125eda94246753ee3ad984726
Unknown Frame: size=18508, net_delay=147, decode_delay=2, encode_delay=48, total_delay=197, md5=51f0e7ed0b940cf1553ba2b36056b477
Unknown Frame: size=21581, net_delay=149, decode_delay=2, encode_delay=45, total_delay=196, md5=807afb187d03209bcfd6a1f0bd79abe3
Unknown Frame: size=20722, net_delay=145, decode_delay=3, encode_delay=47, total_delay=195, md5=d07546983e0eb1cf853a0cc3025a9f2b
Unknown Frame: size=19491, net_delay=133, decode_delay=3, encode_delay=58, total_delay=194, md5=01806dc657aa2172906e9f7c58648608
Unknown Frame: size=23396, net_delay=135, decode_delay=3, encode_delay=57, total_delay=195, md5=9235e36ba6dee99b019fd2ad2c0d5932
Unknown Frame: size=38493, net_delay=119, decode_delay=3, encode_delay=73, total_delay=195, md5=09c658963f9113ead5360709b37f31fa
Unknown Frame: size=28958, net_delay=129, decode_delay=3, encode_delay=62, total_delay=194, md5=4af212a0139962a0b5a8342c05eaff8e
Unknown Frame: size=28184, net_delay=136, decode_delay=3, encode_delay=56, total_delay=195, md5=6ba56fca768ab1da32c17bc87d7756a3
Unknown Frame: size=23882, net_delay=128, decode_delay=3, encode_delay=63, total_delay=194, md5=818b711f3af697cc631c366f78a104a1
Unknown Frame: size=22268, net_delay=136, decode_delay=3, encode_delay=54, total_delay=193, md5=82b61901d87b9c9274491f6f7e7cce4d
Unknown Frame: size=19646, net_delay=142, decode_delay=3, encode_delay=47, total_delay=192, md5=a5ec519d9ea13049150f0f48ad689e56
Unknown Frame: size=11903, net_delay=151, decode_delay=2, encode_delay=38, total_delay=191, md5=90449965e515522f1fae4feb585116a9
Unknown Frame: size=11983, net_delay=145, decode_delay=2, encode_delay=43, total_delay=190, md5=c84f5f252c86f37b87fe9f3a36cfbf45
Unknown Frame: size=5344, net_delay=152, decode_delay=2, encode_delay=35, total_delay=189, md5=06860014ef8602d0baa786a464def93d
Unknown Frame: size=580, net_delay=173, decode_delay=1, encode_delay=13, total_delay=187, md5=14e557664d0e11cb5c8a13be58fd7c29
Unknown Frame: size=910, net_delay=168, decode_delay=1, encode_delay=16, total_delay=185, md5=dfe9b7db823b295a44878e24ce883cc0
Unknown Frame: size=2444, net_delay=166, decode_delay=1, encode_delay=16, total_delay=183, md5=a2c33198fea785aae41bfdb4da53b593
Unknown Frame: size=620, net_delay=166, decode_delay=2, encode_delay=16, total_delay=184, md5=5bbd6628888a45f6265cc10068b6a75e
Unknown Frame: size=11628, net_delay=168, decode_delay=2, encode_delay=13, total_delay=183, md5=9a0a7cfa46571eb076216db1c521113c
Unknown Frame: size=3428, net_delay=168, decode_delay=2, encode_delay=12, total_delay=182, md5=a02864e5ced2aa077c3c6d6f2c315bc9
Unknown Frame: size=228, net_delay=168, decode_delay=1, encode_delay=11, total_delay=180, md5=2d8cc5dac9a0fbb1242b80df904a1d5c
Unknown Frame: size=238, net_delay=167, decode_delay=1, encode_delay=10, total_delay=178, md5=3fc7906ce0ddfee1003f2077f0f3df1a
Unknown Frame: size=301, net_delay=165, decode_delay=1, encode_delay=10, total_delay=176, md5=3a74143e3e540bd412179d7f075e9762
Unknown Frame: size=239, net_delay=164, decode_delay=2, encode_delay=10, total_delay=176, md5=0fbab6072791f68c5b7d2ac23328617a
Unknown Frame: size=85247, net_delay=106, decode_delay=7, encode_delay=111, total_delay=224, md5=dfdbe5859a8c12475248e60eaf9a2fd4
Unknown Frame: size=22306, net_delay=80, decode_delay=3, encode_delay=78, total_delay=161, md5=c039f0dba2b31a625eeb494ffbb01e73
Unknown Frame: size=25579, net_delay=79, decode_delay=3, encode_delay=81, total_delay=163, md5=3523d79d3f350f449d055d427ad1fe8d
Unknown Frame: size=34262, net_delay=78, decode_delay=3, encode_delay=82, total_delay=163, md5=36ff2a09379426450ae26f5c9bfa0cf8
Unknown Frame: size=31898, net_delay=91, decode_delay=3, encode_delay=70, total_delay=164, md5=ae3cb95e98b5fba9181d29cf6a304c60
